gamma,Fx_per_span,Fy_per_span,Cd,Cl
-10.0,-1.4688250615790822e-15,36.75000000000001,-1.1102230246251565e-16,2.777777777777778
-9.0,-0.0,33.075,-0.0,2.5
-8.0,3.6720626539477054e-16,29.400000000000002,2.7755575615628914e-17,2.2222222222222223
-7.0,2.203237592368623e-15,25.724999999999998,1.6653345369377346e-16,1.9444444444444442
-6.0,-0.0,22.05,-0.0,1.6666666666666667
-5.0,3.6720626539477054e-16,18.375,2.7755575615628914e-17,1.3888888888888888
-4.0,3.6720626539477054e-16,14.699999999999996,2.7755575615628914e-17,1.1111111111111107
-3.0,7.344125307895411e-16,11.025000000000002,5.551115123125783e-17,0.8333333333333335
-2.0,1.8360313269738528e-15,7.350000000000003,1.3877787807814457e-16,0.5555555555555558
-1.0,1.4688250615790822e-15,3.674999999999999,1.1102230246251565e-16,0.2777777777777777
0.0,3.6720626539477054e-16,-0.0,2.7755575615628914e-17,-0.0
1.0,1.1016187961843115e-15,-3.674999999999999,8.326672684688673e-17,-0.2777777777777777
2.0,-0.0,-7.349999999999998,-0.0,-0.5555555555555554
3.0,-0.0,-11.025000000000006,-0.0,-0.8333333333333337
4.0,1.1016187961843115e-15,-14.700000000000005,8.326672684688673e-17,-1.1111111111111114
5.0,7.344125307895411e-16,-18.374999999999996,5.551115123125783e-17,-1.3888888888888886
6.0,2.203237592368623e-15,-22.05,1.6653345369377346e-16,-1.6666666666666667
7.0,1.1016187961843115e-15,-25.725000000000005,8.326672684688673e-17,-1.9444444444444449
8.0,3.6720626539477054e-16,-29.400000000000002,2.7755575615628914e-17,-2.2222222222222223
9.0,3.6720626539477054e-16,-33.07500000000001,2.7755575615628914e-17,-2.500000000000001
10.0,-3.6720626539477054e-16,-36.75,-2.7755575615628914e-17,-2.7777777777777777
